time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/value_loss,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
125,5750,1,5.0,0.67912863,45,,,,,,,,,,,,,
165,11500,2,5.0,0.6759503899999999,69,0.003973333306300143,0.0007097681,5e-06,-3.267284870147705,0.1826697587966919,-5.903060406049093,0.13569000363349915,20,0.1,0.3209221758445104,-0.0011662785390064497,,
186,17250,3,5.0,0.6783031899999998,92,0.006346666626632214,0.00070514233,5e-06,-2.3523664474487305,0.18266555666923523,-5.904160680770874,0.1107252910733223,40,0.1,0.24817285406092804,-0.0019238458771145546,,
196,23000,4,5.0,0.6822398499999999,117,0.011230769232870677,0.0014617405,5e-06,-1.8580107688903809,0.18266189098358154,-5.904567334590814,0.08404772728681564,60,0.1,0.2057918790823374,-0.0019114467732366236,,
205,28750,5,5.0,0.67579507,139,0.0033393939590138015,0.00083051407,5e-06,-1.584392786026001,0.18264466524124146,-5.905730053872773,0.06426671147346497,80,0.1,0.1564011306247928,-0.0012392137728458772,,
209,34500,6,5.0,0.6803070999999998,164,0.005976190466788553,0.0011254163,5e-06,-1.3318490982055664,0.1826518177986145,-5.906411789712452,0.06641023606061935,100,0.1,0.1385704127628179,-0.0004300594212819946,,
215,40250,7,5.0,0.6840148100000001,187,0.0050500000018574714,0.0008191767,5e-06,-1.2994630336761475,0.18265865743160248,-5.905541182888879,0.05994108319282532,120,0.1,0.12561126670075787,-0.001088976401279757,,
218,46000,8,5.0,0.6795160699999999,210,0.006123076885556564,0.0010298938,5e-06,-1.2306718826293945,0.18266047537326813,-5.905007319572644,0.05799335241317749,140,0.1,0.11287289113761523,-0.0011523183701709374,,
221,51750,9,5.0,0.6776894,233,0.008157142872611682,0.0011802422,5e-06,-1.1310584545135498,0.18265928328037262,-5.904990787733169,0.03811130300164223,160,0.1,0.10094119917956136,-0.0012830266394671056,,
208,57500,10,5.0,0.6786333600000001,275,0.0021800000049794713,0.0006920153,5e-06,-1.107698917388916,0.18265800178050995,-5.905163567860921,0.04773509502410889,180,0.1,0.10242486604799828,-0.0007450155737305053,0.701707787356268,5.0
211,63250,11,5.0,0.6792242400000003,299,0.00718974353124698,0.0012808084,5e-06,-0.9296817779541016,0.18265655636787415,-5.9053206883944,0.0418473444879055,200,0.1,0.09055379269023736,-0.0010217860628483522,,
215,69000,12,5.0,0.6812413199999997,320,0.01146111111350668,0.0011933115,5e-06,-0.8466063737869263,0.18266624212265015,-5.904872993628184,0.03186703845858574,220,0.1,0.08474072356604867,-0.0017954113475905618,,
218,74750,13,5.0,0.6829954599999999,342,0.006266666688448326,0.0011379636,5e-06,-0.7124032974243164,0.182675302028656,-5.903748464584351,0.026762496680021286,240,0.1,0.08164747128206672,-0.0014149143997588978,,
