rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/explained_variance,train/clip_fraction,train/std,train/n_updates,train/loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
5.0,1,3750,0.5794915700000001,51,72,,,,,,,,,,,,,
5.0,2,7500,0.5742304100000001,95,78,-94.78851844787597,-7.338864326477051,0.3571428493782878,0.05502190440893173,20,0.07623469084501266,0.008252731,0.1,-0.0058580768435216425,0.13508225558325648,1e-05,,
5.0,3,11250,0.58140978,137,81,-94.78512111463044,-1.1088721752166748,0.3881503685009911,0.05502969026565552,40,0.04989604651927948,0.01810544,0.1,0.0041259601679586805,0.043186016589109054,1e-05,,
5.0,4,15000,0.57514703,180,83,-94.77727453231812,0.13882726430892944,0.4304071350034792,0.05503401160240173,60,0.05383177846670151,0.011761384,0.1,-0.0009563515423974068,0.021539681589929388,1e-05,,
5.0,5,18750,0.57823181,221,84,-94.77742740086147,0.452938437461853,0.43563264502611543,0.05503004789352417,80,0.05137763172388077,0.020746589,0.1,0.006628659020501937,0.015111627557780593,1e-05,,
5.0,6,22500,0.57568991,261,86,-94.77890797932943,0.5290387570858002,0.4314380872575566,0.05503219738602638,100,0.018254898488521576,0.031643678,0.1,0.009164501505802178,0.01544811057082067,1e-05,,
5.0,7,26250,0.58175036,302,86,-94.77731578826905,0.575214147567749,0.4400071352737723,0.05503293499350548,120,0.03905703127384186,0.016763173,0.1,-0.002729258465133222,0.013315357221290468,1e-05,,
5.0,8,30000,0.5774691599999999,344,87,-94.77652417351217,0.6248586475849152,0.4441428493167383,0.055032625794410706,140,0.0572904609143734,0.017263502,0.1,0.005436672277739291,0.011711357981788323,1e-05,,
5.0,9,33750,0.5818613100000001,385,87,-94.77837008158366,0.661266416311264,0.4461523729376495,0.05503016710281372,160,0.00532134622335434,0.044558536,0.1,0.0037856867870274397,0.010620261418322723,1e-05,,
5.0,10,37500,0.58033051,449,83,-94.77953638076782,0.6724909543991089,0.4509714205033379,0.05503103882074356,180,0.044813372194767,0.02232341,0.1,0.0005478906033528475,0.01012302675866522,1e-05,0.5904989220958042,5.0
5.0,11,41250,0.5851928399999999,491,83,-94.77836849689484,0.707326352596283,0.45283927657510503,0.05503198504447937,200,0.028201237320899963,0.024672838,0.1,0.005495091028546409,0.009400207732687705,1e-05,,
5.0,12,45000,0.5823632,534,84,-94.77731407165527,0.6975722312927246,0.45413570628443267,0.055032528936862946,220,0.049423858523368835,0.011593344,0.1,-0.0022013784699579553,0.011321368941571564,1e-05,,
5.0,13,48750,0.582786,576,84,-94.77573940052706,0.7142450213432312,0.46247898191419046,0.05503474175930023,240,-0.02397511899471283,0.04896533,0.1,0.007862669717073643,0.010008696111960008,1e-05,,
5.0,14,52500,0.58367571,616,85,-94.77572285334269,0.7420983016490936,0.424761898543026,0.05503261834383011,260,0.059760455042123795,0.021424945,0.1,0.0029523225740076247,0.008073838491691276,1e-05,,
5.0,15,56250,0.5838906899999999,657,85,-94.77589063644409,0.7356639504432678,0.42870237382497484,0.055034685879945755,280,0.06788729131221771,0.019873481,0.1,-0.0002897873732122432,0.008345473354953963,1e-05,,
