time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/std,eval/mean_ep_length,eval/mean_reward
1,89,56,5000,5.0,0.6737937700000001,,,,,,,,,,,,,
2,164,60,10000,5.0,0.6791876600000001,0.35851753428578376,20,-3.329097270965576,0.014350000717677176,-31.102542610168456,0.18518006801605225,1e-06,0.001256305,0.1,-0.004402071868292978,0.05502183362841606,,
3,239,62,15000,5.0,0.6783412799999999,0.31620409309864045,40,-2.8014776706695557,0.016120000801747664,-31.10268985748291,0.17390242218971252,1e-06,0.0012309476,0.1,-0.004523916215958134,0.05502257123589516,,
4,314,63,20000,5.0,0.67893246,0.28914353728294373,60,-2.561367988586426,0.010920000511687249,-31.102623682022095,0.15991997718811035,1e-06,0.0011115556,0.1,-0.0038829458835692777,0.055021967738866806,,
5,390,64,25000,5.0,0.6811538100000001,0.26571398347616193,80,-2.34014892578125,0.013540000612847507,-31.102919263839723,0.14692986011505127,1e-06,0.0014073831,0.1,-0.004154380089033598,0.05502116307616234,,
6,465,64,30000,5.0,0.68347856,0.24599611178040504,100,-2.1139936447143555,0.015360000666696579,-31.10328577041626,0.15345962345600128,1e-06,0.00126927,0.1,-0.004276728666538965,0.05501999333500862,,
7,541,64,35000,5.0,0.6763553,0.22550294548273087,120,-1.952115774154663,0.012020000567426905,-31.103559684753417,0.13122618198394775,1e-06,0.0011311562,0.1,-0.004084298727801592,0.05501983314752579,,
8,617,64,40000,5.0,0.68108965,0.20397862747311593,140,-1.7985591888427734,0.00788000040105544,-31.10354913711548,0.12310068309307098,1e-06,0.0011440417,0.1,-0.0035578838067128514,0.055020056664943695,,
9,693,64,45000,5.0,0.6823750100000001,0.1929205596446991,160,-1.7913720607757568,0.01143000052892603,-31.10343470573425,0.12132616341114044,1e-06,0.0010492911,0.1,-0.0038615540241219294,0.05502034351229668,,
10,788,63,50000,5.0,0.67825186,0.1785956433415413,180,-1.6542632579803467,0.010460000494495034,-31.103265829086304,0.10752534866333008,1e-06,0.0012437816,0.1,-0.004226737664762066,0.05502099171280861,5.0,0.6960067670166667
11,864,63,55000,5.0,0.6825593699999999,0.17414923563599585,200,-1.5891551971435547,0.0062600002577528355,-31.10311093330383,0.10620765388011932,1e-06,0.0011059571,0.1,-0.003715823569188823,0.05502118542790413,,
12,939,63,60000,5.0,0.6742224899999999,0.15367261782288552,220,-1.4569675922393799,0.010550000459188595,-31.10282548904419,0.09581111371517181,1e-06,0.0010320887,0.1,-0.004150090056831459,0.05502244457602501,,
13,1014,64,65000,5.0,0.68625728,0.1526756740361452,240,-1.570885181427002,0.008370000378927217,-31.102813243865967,0.0990779921412468,1e-06,0.0010836389,0.1,-0.0039830378934546835,0.05502114072442055,,
