time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/clip_range,train/value_loss,train/n_updates,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/std,train/loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
1,5.0,4750,0.5818629200000001,58,81,,,,,,,,,,,,,
2,5.0,9500,0.57999624,99,95,0.1,0.15599984059731165,20,-4.137760639190674,-94.78433643341064,1e-05,0.0064921943,-0.002327852100322604,0.055029504001140594,0.09430307894945145,0.3133124917660219,,
3,5.0,14250,0.57905076,141,100,0.1,0.033214806869315605,40,-0.25054216384887695,-94.7786126200358,1e-05,0.018497655,0.001734038367323958,0.05503164976835251,0.04309231415390968,0.4273208226364416,,
4,5.0,19000,0.5769810400000001,183,103,0.1,0.022066543630013865,60,0.20318639278411865,-94.7789274597168,1e-05,0.010653143,0.003741090526812393,0.05503050982952118,0.052886687219142914,0.4209416556917131,,
5,5.0,23750,0.5786299400000001,225,105,0.1,0.016922975403722375,80,0.4317368268966675,-94.78111017862956,1e-05,0.021786707,0.015163212098429852,0.05502761900424957,0.045106761157512665,0.47912915458669886,,
6,5.0,28500,0.57940185,266,106,0.1,0.01440357613687714,100,0.531376302242279,-94.78474465688069,1e-05,0.026253268,0.00965682708024921,0.05502424016594887,0.019698210060596466,0.45800415487183876,,
7,5.0,33250,0.58442041,306,108,0.1,0.013322494213934988,120,0.5954270362854004,-94.78920522054037,1e-05,0.019149706,0.006367949397008224,0.05502089858055115,0.04212185740470886,0.4585624877293594,,
8,5.0,38000,0.5811415099999999,349,108,0.1,0.012763291055647035,140,0.6320001184940338,-94.79080322265625,1e-05,0.019358585,0.011678088843378403,0.05502045899629593,0.05976467579603195,0.48870415531254063,,
9,5.0,42750,0.57891759,389,109,0.1,0.011424077053864798,160,0.6578309834003448,-94.78851418588675,1e-05,0.03560801,0.016961738249141822,0.05502612143754959,0.044346749782562256,0.5205048886502125,,
10,5.0,47500,0.5795782700000001,455,104,0.1,0.010846115681515247,180,0.6887333691120148,-94.78458256191678,1e-05,0.036009382,0.009201736977756144,0.05502575635910034,0.0036617927253246307,0.46441665474860067,5.0,0.5997895657397389
11,5.0,52250,0.5831462299999999,495,105,0.1,0.010503927886020392,200,0.6964364647865295,-94.78596083323161,1e-05,0.032280423,0.008713754022665257,0.05502423271536827,0.010786537081003189,0.4851145715103485,,
12,5.0,57000,0.57969063,535,106,0.1,0.010072719152085484,220,0.7059552669525146,-94.7846782430013,1e-05,0.021785682,0.012210485848506026,0.05502815917134285,0.043139077723026276,0.44044165591709317,,
13,5.0,61750,0.58388798,574,107,0.1,0.010936331233912796,240,0.7055753469467163,-94.78371401700106,1e-05,0.03520666,0.0042775112090263695,0.05502565577626228,-0.013133309781551361,0.3996893832389491,,
14,5.0,66500,0.58267038,615,108,0.1,0.009253678073313225,260,0.7244674563407898,-94.78531478599265,1e-05,0.028826445,0.012786964621690225,0.05502530559897423,0.023376256227493286,0.5050509144103638,,
15,5.0,71250,0.5848739700000001,653,109,0.1,0.009561580458345513,280,0.7301591336727142,-94.78513849894206,1e-05,0.014304477,0.0025496652153844503,0.05502605438232422,0.06451918929815292,0.3901833243435249,,
16,5.0,76000,0.5861244000000001,693,109,0.1,0.009267712742504146,300,0.7409537136554718,-94.78483271280925,1e-05,0.025623724,0.016505565592259838,0.05502604693174362,0.054015349596738815,0.4999444321346366,,
17,5.0,80750,0.58727434,733,110,0.1,0.008916578143671678,320,0.749338299036026,-94.78732845908718,1e-05,0.025304334,0.00987811360409659,0.055022016167640686,0.038049280643463135,0.49898683027233603,,
18,5.0,85500,0.58027087,775,110,0.1,0.008995522829160715,340,0.7570129036903381,-94.79012475331625,1e-05,0.029473761,0.00937215337199747,0.055020805448293686,0.021376412361860275,0.47908332127301645,,
19,5.0,90250,0.589843,815,110,0.1,0.009243419229806888,360,0.7613666355609894,-94.79049015953427,1e-05,0.043496788,0.01241416223550845,0.0550214946269989,-0.0025282949209213257,0.47251189307509256,,
20,5.0,95000,0.5880173799999999,878,108,0.1,0.007963656640883224,380,0.7714461982250214,-94.78856527010599,1e-05,0.037440237,0.008771886145746373,0.055024657398462296,-0.007417254149913788,0.48148957049124874,5.0,0.6234905742177806
21,5.0,99750,0.58642716,917,108,0.1,0.007850486833291748,400,0.7788033783435822,-94.78465942382813,1e-05,0.026332982,0.007324490810195735,0.05502760410308838,-0.002418406307697296,0.43931665622629223,,
22,5.0,104500,0.5811050799999999,957,109,0.1,0.008414626075386036,420,0.7759546935558319,-94.78467508951823,1e-05,0.021730045,0.013999281649176501,0.055024709552526474,0.03790169954299927,0.48383332071739626,,
23,5.0,109250,0.58637808,996,109,0.1,0.008191494553789704,440,0.7818396836519241,-94.78618683285184,1e-05,0.021662885,0.008029688384919112,0.055024757981300354,0.04061146825551987,0.4483680445623274,,
