time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/std,eval/mean_ep_length,eval/mean_reward
1,88,56,5000,5.0,0.67863298,,,,,,,,,,,,,
2,163,61,10000,5.0,0.6826002200000001,0.4160569497942925,20,-7.867032051086426,0.008900000401772558,-31.102219705581664,0.22122818231582642,1e-06,0.001055611,0.1,-0.003813034356018523,0.05502350255846977,,
3,237,63,15000,5.0,0.67874967,0.3795866714417934,40,-7.057251930236816,0.012860000546788796,-31.10221755027771,0.20078280568122864,1e-06,0.0010600875,0.1,-0.004099564527234279,0.055023204535245895,,
4,312,64,20000,5.0,0.6831997800000003,0.345910279750824,60,-6.374588489532471,0.01003000051015988,-31.102501134872437,0.19695717096328735,1e-06,0.0011499681,0.1,-0.003749352396234551,0.05502210557460785,,
5,386,64,25000,5.0,0.6789209900000001,0.32209473952651024,80,-5.9554877281188965,0.0056600002688355746,-31.10248773574829,0.19321481883525848,1e-06,0.0010231833,0.1,-0.0035884670838745693,0.055023420602083206,,
6,460,65,30000,5.0,0.6800641900000001,0.2991370366513729,100,-5.459006309509277,0.00775000037974678,-31.102215785980224,0.15934103727340698,1e-06,0.0010699029,0.1,-0.0035305557806734455,0.05502329766750336,,
7,534,65,35000,5.0,0.6761431299999999,0.268190980181098,120,-4.81316614151001,0.010200000471668318,-31.10211181640625,0.15544670820236206,1e-06,0.001161477,0.1,-0.003918631551703733,0.05502410978078842,,
8,608,65,40000,5.0,0.67918161,0.2561323832720518,140,-4.629459381103516,0.009530000450322405,-31.101770792007446,0.14772957563400269,1e-06,0.0011554981,0.1,-0.0039085681987269805,0.05502498894929886,,
9,682,65,45000,5.0,0.6747178000000001,0.2405324849486351,160,-4.237607479095459,0.012550000575138255,-31.101528148651123,0.1348230540752411,1e-06,0.0013680534,0.1,-0.0043772814113646865,0.05502529442310333,,
10,778,64,50000,5.0,0.6783218800000002,0.22432293951511384,180,-3.917661190032959,0.006790000294568017,-31.10118953704834,0.12533149123191833,1e-06,0.0010675994,0.1,-0.0036872376223682935,0.055027008056640625,5.0,0.6858286897868607
11,852,64,55000,5.0,0.6870571,0.21302117481827737,200,-3.6388354301452637,0.009020000448217616,-31.10083543777466,0.12240663915872574,1e-06,0.0012228637,0.1,-0.0037270712965457786,0.055026959627866745,,
12,926,64,60000,5.0,0.68616954,0.20344764344394206,220,-3.4930906295776367,0.017580000726738945,-31.100798835754393,0.12831291556358337,1e-06,0.0013831775,0.1,-0.004412102768311446,0.05502728000283241,,
13,1000,64,65000,5.0,0.6822909699999999,0.18915177322924137,240,-3.15468692779541,0.010000000442378223,-31.10069447517395,0.11862140893936157,1e-06,0.0010597337,0.1,-0.004110014385858118,0.05502743646502495,,
14,1074,65,70000,5.0,0.68284354,0.1829443035274744,260,-3.0544872283935547,0.009140000459738076,-31.100767965316773,0.11513666808605194,1e-06,0.0011931288,0.1,-0.003982410586500595,0.055026885122060776,,
15,1149,65,75000,5.0,0.68347784,0.17528233855962752,280,-2.8953678607940674,0.0066700003191363065,-31.10073944091797,0.10725919902324677,1e-06,0.0010672816,0.1,-0.003437228660092009,0.05502782016992569,,
16,1223,65,80000,5.0,0.67985839,0.16072123117744921,300,-2.5743842124938965,0.00977000048966147,-31.100394344329835,0.09883542358875275,1e-06,0.0010267792,0.1,-0.004054275656740067,0.05502854287624359,,
17,1298,65,85000,5.0,0.6822867499999998,0.15867881007492543,320,-2.515608310699463,0.003400000153342262,-31.10016658782959,0.10723785310983658,1e-06,0.0008833388,0.1,-0.003080647922359603,0.0550290085375309,,
18,1372,65,90000,5.0,0.68142387,0.15615508928894997,340,-2.4879486560821533,0.007380000366829335,-31.100216188430785,0.09783025085926056,1e-06,0.0011141559,0.1,-0.0038220395251665497,0.05502825975418091,,
19,1447,65,95000,5.0,0.6862123,0.14459461469203233,360,-2.2246344089508057,0.013550000676186755,-31.100367498397826,0.09780914336442947,1e-06,0.0013296006,0.1,-0.004425943072973801,0.055028244853019714,,
20,1540,64,100000,5.0,0.6840161799999999,0.1396564783155918,380,-2.0816991329193115,0.006030000270111486,-31.100145120620727,0.093033067882061,1e-06,0.00094754226,0.1,-0.003542098979845658,0.05502949655056,5.0,0.7003093140935632
21,1614,65,105000,5.0,0.6808542599999999,0.13656370494514702,400,-2.050274133682251,0.00600000025704503,-31.09981973648071,0.09686661511659622,1e-06,0.0010074963,0.1,-0.0037280267843980575,0.055029820650815964,,
