time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/clip_range,train/value_loss,train/n_updates,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/std,train/loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
1,5.0,4750,0.5786371699999999,58,81,,,,,,,,,,,,,
2,5.0,9500,0.5801108899999999,100,94,0.1,0.1364088353111098,20,-7.607786178588867,-94.78915990193686,1e-05,0.007150023,-0.002676219535345934,0.05502063035964966,0.08516515046358109,0.3079124919550183,,
3,5.0,14250,0.57766073,142,99,0.1,0.04176959100334594,40,-1.207775354385376,-94.787646484375,1e-05,0.008173406,0.002269185908005839,0.055026642978191376,0.04603477194905281,0.37478749052078153,,
4,5.0,19000,0.58265854,183,103,0.1,0.021788805023785315,60,0.18939006328582764,-94.7842040716433,1e-05,0.018997902,0.007863025741039323,0.05502614378929138,0.049073852598667145,0.4594656754814673,,
5,5.0,23750,0.5769458800000001,223,106,0.1,0.01748708276000495,80,0.4286655783653259,-94.78361522674561,1e-05,0.018476771,0.005210177619933772,0.05502719432115555,0.03556597977876663,0.43929998888401317,,
6,5.0,28500,0.58020432,263,108,0.1,0.015083755350982149,100,0.5410750508308411,-94.78359638849894,1e-05,0.027433837,0.00713390176970582,0.05502628907561302,0.031047843396663666,0.4589270722460545,,
7,5.0,33250,0.5805311799999999,303,109,0.1,0.014466407283076218,120,0.5924310386180878,-94.78507138206845,1e-05,0.02838097,0.013469150143937049,0.055025599896907806,0.05210563540458679,0.46183927389460483,,
8,5.0,38000,0.5822795000000001,344,110,0.1,0.012291501943642895,140,0.6304543018341064,-94.78710637410482,1e-05,0.022738114,0.012252126392541375,0.05502144247293472,0.036134984344244,0.44954443281412954,,
9,5.0,42750,0.5795642200000001,385,110,0.1,0.012219482610459652,160,0.6634180843830109,-94.78749475311815,1e-05,0.030970199,0.015534336330690532,0.05502531677484512,0.003858651965856552,0.5154780575768663,,
10,5.0,47500,0.57907308,446,106,0.1,0.011185339126192654,180,0.6842067837715149,-94.7851934115092,1e-05,0.01725869,0.0032006515547639853,0.055025678128004074,0.07683125138282776,0.3810624902291844,5.0,0.5934296333200524
11,5.0,52250,0.58059427,485,107,0.1,0.01085399161809339,200,0.6912159621715546,-94.78342993320562,1e-05,0.023623241,0.010202708336491388,0.05502871423959732,0.037925511598587036,0.45834614143778496,,
12,5.0,57000,0.58152112,525,108,0.1,0.010394934561918489,220,0.7016557157039642,-94.78282569249471,1e-05,0.027500546,0.012334027976686248,0.05502656474709511,0.02744271792471409,0.5038281113355576,,
