rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/explained_variance,train/clip_fraction,train/std,train/n_updates,train/loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
5.0,1,3750,0.5775600200000001,51,72,,,,,,,,,,,,,
5.0,2,7500,0.5750428999999999,93,80,-94.78437551498413,-4.019761562347412,0.34093570823082703,0.05502864718437195,20,0.09395883232355118,0.007996517,0.1,-0.004966484537637959,0.14092501372098923,1e-05,,
5.0,3,11250,0.5785907900000001,134,83,-94.77864360809326,-0.2649543285369873,0.3686785643908661,0.055034223943948746,40,0.018351677805185318,0.04116966,0.1,-0.004475848446207018,0.0334201978542842,1e-05,,
5.0,4,15000,0.57821729,176,84,-94.77335536956787,0.19626611471176147,0.390514278623159,0.055037595331668854,60,0.05107561871409416,0.010356057,0.1,-0.00016934783730913062,0.022675041798502205,1e-05,,
5.0,5,18750,0.5815594799999999,218,85,-94.7714006614685,0.37468624114990234,0.4487642776512075,0.05503763258457184,80,0.05978783965110779,0.010910955,0.1,0.0008011260246061803,0.018394191372208296,1e-05,,
5.0,6,22500,0.57897498,259,86,-94.77172185897827,0.4878615140914917,0.4552071349136531,0.055037349462509155,100,0.05646460875868797,0.014879197,0.1,0.004840308714391514,0.015612677248427645,1e-05,,
5.0,7,26250,0.57667419,300,87,-94.76941177845,0.5629915595054626,0.40619642142773954,0.055040836334228516,120,0.04909023642539978,0.022980854,0.1,0.0014554543049896396,0.013934623688692227,1e-05,,
5.0,8,30000,0.5789500400000002,340,88,-94.76723967332106,0.608342707157135,0.39317581643207145,0.055040813982486725,140,0.03517087176442146,0.027293028,0.1,-0.0028904723930841245,0.012369434986836635,1e-05,,
5.0,9,33750,0.5786825600000002,381,88,-94.77076358795166,0.6263746023178101,0.4788749899045797,0.055034615099430084,160,0.06182130053639412,0.024413269,0.1,0.007586116183552927,0.011561653448734433,1e-05,,
5.0,10,37500,0.58188924,448,83,-94.77338798924497,0.6272740364074707,0.45119548028359485,0.05503755062818527,180,0.030473977327346802,0.02993982,0.1,0.004167853920513945,0.012491522514947543,1e-05,0.5943146132065489,5.0
5.0,11,41250,0.5842058499999999,489,84,-94.77091867923737,0.667616605758667,0.4385178494216234,0.05503857880830765,200,0.027783703058958054,0.030196246,0.1,0.0021759199016878534,0.010477137220004807,1e-05,,
5.0,12,45000,0.57919741,530,84,-94.76976099014283,0.6767573952674866,0.46654761050497956,0.05503913760185242,220,0.07196413725614548,0.028656159,0.1,0.013012281712350752,0.009432539976357172,1e-05,,
5.0,13,48750,0.5806757599999999,572,85,-94.77219102859497,0.6898322999477386,0.48712856317288245,0.05503486096858978,240,0.02711261436343193,0.023547199,0.1,0.0032657799929310003,0.010622481587342919,1e-05,,
5.0,14,52500,0.5860966799999999,614,85,-94.77277931637234,0.7134222686290741,0.44711904019479537,0.05503794550895691,260,0.0443287119269371,0.013787618,0.1,-0.0025345545465804403,0.009798847211317883,1e-05,,
5.0,15,56250,0.58528926,655,85,-94.77043958391462,0.7133277058601379,0.4736020316294993,0.05503847450017929,280,0.02859707549214363,0.032122467,0.1,0.00797566472622132,0.008678571567205445,1e-05,,
5.0,16,60000,0.58472814,695,86,-94.7690653483073,0.7273965775966644,0.4574285629414953,0.05504103749990463,300,0.056855782866477966,0.021813212,0.1,0.006049123902044011,0.008029885763923328,1e-05,,
5.0,17,63750,0.5853841,736,86,-94.76950480143229,0.7347164154052734,0.44862697644534316,0.05503634363412857,320,0.043711837381124496,0.017704815,0.1,0.0033523953883208366,0.008820213589610324,1e-05,,
5.0,18,67500,0.57848028,778,86,-94.77218568325043,0.7405579686164856,0.43370534949281137,0.055037423968315125,340,0.0484011135995388,0.019450666,0.1,0.0052728831581171035,0.008959175887866877,1e-05,,
5.0,19,71250,0.57755164,819,86,-94.76944259194767,0.7477400600910187,0.4510588158873896,0.05504101514816284,360,0.04408315196633339,0.02039597,0.1,0.00989811101639565,0.008796471364193542,1e-05,,
5.0,20,75000,0.58783566,882,84,-94.76586837768555,0.7528881132602692,0.4588785635709064,0.05504336208105087,380,0.02827383577823639,0.024997514,0.1,0.004824718045460421,0.008022984730778261,1e-05,0.6170849226903923,5.0
5.0,21,78750,0.58430864,923,85,-94.76728708479139,0.769937589764595,0.4671745949127297,0.055038996040821075,400,0.03170318156480789,0.030460963,0.1,0.004141736029856435,0.007936616646151782,1e-05,,
5.0,22,82500,0.5820619699999999,964,85,-94.76918144226075,0.7680347114801407,0.4619897871968403,0.055040113627910614,420,0.017235316336154938,0.027532514,0.1,0.009697433811560985,0.007967895202039341,1e-05,,
5.0,23,86250,0.58756546,1006,85,-94.767435131073,0.7813496887683868,0.464828563608462,0.05504222959280014,440,0.04115469008684158,0.017770162,0.1,0.007184653693919394,0.007539321025251411,1e-05,,
5.0,24,90000,0.5888711299999999,1047,85,-94.76526202033548,0.7948359847068787,0.43207562257371407,0.05504325032234192,460,0.05082472413778305,0.013585241,0.1,-0.00251800239822661,0.007270255113047931,1e-05,,
5.0,25,93750,0.5888263800000001,1088,86,-94.7650231467353,0.798064574599266,0.4894444364420552,0.05504205822944641,480,0.042487550526857376,0.0291786,0.1,0.008754968682451392,0.0064461843873788085,1e-05,,
5.0,26,97500,0.58972794,1129,86,-94.76780815124512,0.8083622455596924,0.4284725191349235,0.05503987893462181,500,0.022547349333763123,0.026317254,0.1,0.0027432106550223877,0.006423658549857254,1e-05,,
5.0,27,101250,0.58964204,1170,86,-94.76891121864318,0.8041827827692032,0.47218749177118297,0.05503939092159271,520,0.051009662449359894,0.020415107,0.1,0.007721607727486629,0.006607924259151332,1e-05,,
5.0,28,105000,0.58989354,1211,86,-94.77105454664964,0.7987780570983887,0.45915383865447856,0.05503624677658081,540,-0.052750520408153534,0.04554894,0.1,0.0028748486589038136,0.007201829755034011,1e-05,,
5.0,29,108750,0.58956545,1252,86,-94.77179388318743,0.8052942305803299,0.44491835917080086,0.055037930607795715,560,0.06978042423725128,0.011710513,0.1,-0.0013830935678608603,0.007110808684124744,1e-05,,
5.0,30,112500,0.58918192,1316,85,-94.76952079324161,0.8143089115619659,0.4417899081504027,0.05503992736339569,580,0.02662210538983345,0.019518219,0.1,-0.002599502548773124,0.006709103862179772,1e-05,0.6438212975441067,5.0
5.0,31,116250,0.5958545,1358,85,-94.76883089701334,0.815648689866066,0.45768570639037837,0.055039092898368835,600,0.04608416557312012,0.022747094,0.1,0.010473395546882725,0.006100422091937313,1e-05,,
5.0,32,120000,0.59453072,1399,85,-94.77124710083008,0.8195911645889282,0.46269522975354144,0.05503621697425842,620,0.05286289006471634,0.017278776,0.1,-0.002341533059742611,0.006614956465394547,1e-05,,
5.0,33,123750,0.58935065,1440,85,-94.77411762036775,0.8257487416267395,0.4626240518372996,0.055034685879945755,640,0.055110737681388855,0.019649053,0.1,0.00666370545554126,0.005487271390953346,1e-05,,
5.0,34,127500,0.59052699,1480,86,-94.77467998504639,0.8297273814678192,0.44721427772543393,0.05503523349761963,660,0.02152746170759201,0.034735974,0.1,0.008139850530019928,0.005228320226888172,1e-05,,
5.0,35,131250,0.5881626299999999,1520,86,-94.77232877943251,0.8262074291706085,0.4228571346611716,0.0550384446978569,680,0.03745140880346298,0.022453934,0.1,0.0039173081637832695,0.00575632544932887,1e-05,,
5.0,36,135000,0.59362162,1562,86,-94.77237911224366,0.8301312774419785,0.43828570625919383,0.05503430590033531,700,0.0634939894080162,0.014206834,0.1,-0.0009513516018957391,0.00642876728088595,1e-05,,
5.0,37,138750,0.59514855,1604,86,-94.7762880897522,0.8251333385705948,0.47343570557190107,0.05503271892666817,720,0.016656160354614258,0.03236131,0.1,0.005425195995417678,0.006036500780028291,1e-05,,
5.0,38,142500,0.5995499999999999,1645,86,-94.77760285271539,0.8235189616680145,0.4095396748989717,0.05503164976835251,740,0.06603290140628815,0.013166769,0.1,0.0008011037678617624,0.006055430110750927,1e-05,,
5.0,39,146250,0.59657117,1686,86,-94.78078187641344,0.8365312218666077,0.4746165321894774,0.05502811819314957,760,0.028409816324710846,0.028554685,0.1,-0.0016056655087620208,0.006071051092524277,1e-05,,
5.0,40,150000,0.59564446,1749,85,-94.78376915671609,0.8373011499643326,0.4310129797012037,0.055026229470968246,780,0.06129276752471924,0.018079296,0.1,0.0067363188758750815,0.0053470226883126255,1e-05,0.656413390399226,5.0
5.0,41,153750,0.5970672899999999,1789,85,-94.78414070822976,0.8429907560348511,0.3965064865917983,0.05502714961767197,800,-0.03266483545303345,0.057989314,0.1,0.0005113746340851932,0.005445590720046312,1e-05,,
5.0,42,157500,0.59837879,1831,85,-94.78419880867004,0.8426840752363205,0.4960624918487156,0.055025868117809296,820,0.026253532618284225,0.021230929,0.1,0.00398041577972941,0.0051341585865884555,1e-05,,
5.0,43,161250,0.59357473,1874,86,-94.7859935760498,0.8365598320960999,0.47103758623860287,0.055024296045303345,840,-0.00014596432447433472,0.037260134,0.1,0.0013192152481450576,0.005893585971850706,1e-05,,
5.0,44,165000,0.59756762,1915,86,-94.78640149434408,0.8460750132799149,0.39822221335877356,0.055025555193424225,860,0.061685703694820404,0.01353585,0.1,-0.0001452349490358588,0.005542100400715653,1e-05,,
5.0,45,168750,0.60378367,1957,86,-94.78527686175178,0.8500055521726608,0.491521001062082,0.05502564460039139,880,0.028202973306179047,0.02640482,0.1,0.013113597390665125,0.004925483856555622,1e-05,,
5.0,46,172500,0.59904463,1999,86,-94.78805645213407,0.8484445810317993,0.4267058752011508,0.05502137169241905,900,-0.01487453281879425,0.049407844,0.1,0.003456748578038571,0.005741323427269783,1e-05,,
5.0,47,176250,0.5988447799999999,2041,86,-94.78866229337804,0.8595947176218033,0.4276974709964741,0.05502412095665932,920,0.054521702229976654,0.014688518,0.1,0.0049765196351878255,0.004927209081977387,1e-05,,
5.0,48,180000,0.5997218799999999,2083,86,-94.78868246078491,0.8591212630271912,0.45927141967928037,0.055021464824676514,940,0.06630842387676239,0.011867981,0.1,-0.0019350465282717765,0.004761766371084377,1e-05,,
