time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/loss,train/approx_kl,train/learning_rate,train/std,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1,120,64,0.6772086100000001,7750,5.0,,,,,,,,,,,,,
2,137,112,0.6813405899999998,15500,5.0,0.19631804525852203,0.0012313263,1e-06,0.05502281337976456,-0.0015328934143860628,20,0.1,-3.264014720916748,0.3596259815990925,0.015348809580027592,-31.10235580444336,,
3,144,161,0.6854982699999997,23250,5.0,0.17576304078102112,0.0011139368,1e-06,0.05502217262983322,-0.0012752114052663232,40,0.1,-2.920743942260742,0.325404943972826,0.014577380927221384,-31.102552309036255,,
4,148,209,0.6831709400000001,31000,5.0,0.15318584442138672,0.0009143385,1e-06,0.05502063408493996,-0.0023289995227674075,60,0.1,-2.71148419380188,0.2991775771975517,0.004272619077528361,-31.10297281742096,,
5,149,258,0.6760332999999998,38750,5.0,0.1460508406162262,0.000740341,1e-06,0.05502030625939369,-0.001054921995992536,80,0.1,-2.305241584777832,0.2680011523887515,0.0023511904856422915,-31.103348517417906,,
6,151,306,0.6815128900000001,46500,5.0,0.1355893760919571,0.0010654267,1e-06,0.055021706968545914,-0.0024340133811200015,100,0.1,-2.003877878189087,0.24575841024518014,0.012452380985778291,-31.103131136894227,,
7,153,353,0.6800279800000001,54250,5.0,0.12881118059158325,0.0014113844,1e-06,0.05502058193087578,-0.0012165946940399142,120,0.1,-1.7685961723327637,0.22629696056246756,0.01104285719920881,-31.103062739372252,,
8,155,399,0.6821508800000001,62000,5.0,0.13072313368320465,0.00082651793,1e-06,0.0550205260515213,-0.0006968612561400001,140,0.1,-1.758514165878296,0.2068972985818982,0.0045702380879083645,-31.103316621780394,,
9,156,446,0.6797845700000003,69750,5.0,0.1172952875494957,0.0011873359,1e-06,0.05502042546868324,-0.0017624316175992405,160,0.1,-1.6300742626190186,0.19391874264925718,0.010048809581785462,-31.103337140083312,,
10,150,513,0.680101,77500,5.0,0.10659033060073853,0.0014148653,1e-06,0.05502134561538696,-0.002142086941804353,180,0.1,-1.5928575992584229,0.17600609946995974,0.01865357146394672,-31.1031742477417,5.0,0.6877366689053817
