rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/explained_variance,train/clip_fraction,train/std,train/n_updates,train/loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
5.0,1,3750,0.5815362999999999,52,71,,,,,,,,,,,,,
5.0,2,7500,0.57883465,94,79,-94.78931451797486,-4.358179569244385,0.38705713567207567,0.05502135306596756,20,0.07001403719186783,0.009492418,0.1,-0.006974703805162521,0.09313533967826515,1e-05,,
5.0,3,11250,0.57909244,136,82,-94.79037439346314,0.09331762790679932,0.39293570710637143,0.055020660161972046,40,0.05754352733492851,0.01213827,0.1,-0.0010118544720329047,0.025027196721639486,1e-05,,
5.0,4,15000,0.5828171099999999,178,84,-94.79203875405447,0.3707226514816284,0.39146937967078493,0.055018387734889984,60,0.05664956569671631,0.015063176,0.1,0.010303830261271843,0.018168864434119313,1e-05,,
5.0,5,18750,0.58215611,219,85,-94.79218393053327,0.5046650171279907,0.4138979521097748,0.05502083897590637,80,0.05096520483493805,0.016553402,0.1,0.005315748336390379,0.01674118824802073,1e-05,,
5.0,6,22500,0.57641716,260,86,-94.79058201313019,0.5223270356655121,0.44762499111457144,0.0550210066139698,100,0.02744763344526291,0.019484226,0.1,-0.00029363722349548223,0.014209630290861242,1e-05,,
5.0,7,26250,0.5811057700000001,300,87,-94.78801007270813,0.5896032452583313,0.4259017773809319,0.05502526834607124,120,0.06473777443170547,0.016959848,0.1,0.002259361054895498,0.013250059392885306,1e-05,,
5.0,8,30000,0.58665198,342,87,-94.78520351209139,0.6099586486816406,0.4293909695324194,0.055026035755872726,140,0.011169102042913437,0.04993833,0.1,0.0007252411814525803,0.01281554760828026,1e-05,,
5.0,9,33750,0.58245064,384,87,-94.78179666519165,0.616825520992279,0.4798999919660855,0.05503159016370773,160,0.050367631018161774,0.022466738,0.1,0.0027816966347161444,0.012032934039016254,1e-05,,
5.0,10,37500,0.58691423,447,83,-94.77535423278809,0.6487188041210175,0.44255237204022707,0.05503615364432335,180,-0.014697551727294922,0.044830374,0.1,0.004013974935448209,0.011059144035292168,1e-05,0.61484308684719,5.0
5.0,11,41250,0.5818722900000001,489,84,-94.77316991170247,0.6498585641384125,0.4246476118049274,0.055035628378391266,200,0.05653702840209007,0.017657954,0.1,0.003147549194789955,0.011206900719553232,1e-05,,
5.0,12,45000,0.5853077099999999,531,84,-94.7771855354309,0.6771187484264374,0.4682428496773355,0.055029090493917465,220,0.029832281172275543,0.039315812,0.1,-0.001594316047034079,0.011781784750055521,1e-05,,
5.0,13,48750,0.58359685,572,85,-94.78063495342548,0.6777110695838928,0.44931867408404985,0.05503068491816521,240,0.04800105839967728,0.01718224,0.1,0.004063757322970737,0.0111740016987404,1e-05,,
5.0,14,52500,0.58539202,614,85,-94.77997863769531,0.6944813430309296,0.47213570567429997,0.05502980947494507,260,-0.0019373148679733276,0.04231205,0.1,0.0040300437469142115,0.009847559581976384,1e-05,,
5.0,15,56250,0.58652099,655,85,-94.78226015191329,0.7125776708126068,0.4302556320749174,0.055026065558195114,280,0.042016588151454926,0.014941005,0.1,0.0036334771393674685,0.009597514775630676,1e-05,,
5.0,16,60000,0.5860869000000001,696,86,-94.78500967025757,0.7212284207344055,0.43661904068042834,0.05502546951174736,300,0.01400911808013916,0.031415503,0.1,0.002261073982532132,0.0086830559312754,1e-05,,
5.0,17,63750,0.5857771,738,86,-94.78842859268188,0.7194310128688812,0.4949357051652623,0.055019378662109375,320,0.044127702713012695,0.015010973,0.1,-0.004579769552808175,0.011038523733150214,1e-05,,
5.0,18,67500,0.58582865,778,86,-94.79230006824841,0.7355214059352875,0.3819350584621795,0.05501921847462654,340,0.043265148997306824,0.016364597,0.1,0.002845928685876465,0.008554807547691532,1e-05,,
5.0,19,71250,0.58304746,819,86,-94.79203272732822,0.743485689163208,0.4347272657397711,0.05502050369977951,360,0.07171937823295593,0.013471609,0.1,0.0023091856022762385,0.008823007754769853,1e-05,,
5.0,20,75000,0.58791639,883,84,-94.79096204121907,0.7265211045742035,0.43313332546424743,0.05502073094248772,380,0.041381582617759705,0.017095152,0.1,0.002503583385710672,0.009713383338724573,1e-05,0.6362092961305448,5.0
5.0,21,78750,0.58564615,924,85,-94.79054918289185,0.749488353729248,0.41692856381317445,0.05502063035964966,400,0.05661410093307495,0.020143695,0.1,0.013424416648522485,0.008465026644989848,1e-05,,
5.0,22,82500,0.5849579800000001,966,85,-94.79197672526041,0.7503221780061722,0.44207618224744993,0.0550185889005661,420,0.04928545281291008,0.022101548,0.1,-0.0006905191099357092,0.008595077317828933,1e-05,,
5.0,23,86250,0.5933122599999999,1007,85,-94.79000165939331,0.7651106119155884,0.4579714196099667,0.05502407252788544,440,0.03631248325109482,0.022825796,0.1,-0.005642359649675743,0.00850315864488948,1e-05,,
5.0,24,90000,0.5925731300000001,1048,85,-94.78745002746582,0.7811881005764008,0.4208831088628027,0.055022791028022766,460,0.04772891104221344,0.011692912,0.1,0.002888874011900794,0.006696062260942364,1e-05,,
5.0,25,93750,0.5906746600000001,1091,85,-94.78911144858913,0.7746831476688385,0.44654886379139497,0.05502231419086456,480,0.04552473872900009,0.020898093,0.1,0.006351369431058068,0.007365844040300305,1e-05,,
5.0,26,97500,0.59086647,1132,86,-94.78686435406024,0.7798437029123306,0.4300329598141476,0.05502607673406601,500,0.05623236298561096,0.013491586,0.1,0.0009192459292585489,0.007702420268637629,1e-05,,
5.0,27,101250,0.58988796,1173,86,-94.7839280641996,0.7830760926008224,0.411736255696115,0.05502704530954361,520,0.05648351460695267,0.016876709,0.1,0.003457441237238448,0.007916339893395512,1e-05,,
5.0,28,105000,0.5875481300000002,1214,86,-94.78184601465861,0.7894194275140762,0.41860713487258183,0.05502960830926895,540,0.06314700841903687,0.013019012,0.1,0.0036728851491444336,0.007977781559263045,1e-05,,
5.0,29,108750,0.59540202,1256,86,-94.78069087134467,0.7840681076049805,0.4677698334213346,0.055028993636369705,560,0.039730336517095566,0.026888479,0.1,0.006366989488957822,0.007796192889024193,1e-05,,
