rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/std,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
5.0,226,11,0.5779324100000001,2500,1,,,,,,,,,,,,,
5.0,453,11,0.57783694,5000,2,0.0077587944,-6.885904312133789,0.1288936435431242,0.36832001568749545,0.07732748985290527,0.1,0.05502191185951233,-94.78836975097656,1e-05,20,-0.033543254982128234,,
5.0,679,11,0.57853653,7500,3,0.008287588,-0.866215705871582,0.037598487138748166,0.3552200167719275,0.061475060880184174,0.1,0.055015839636325836,-94.79317153930664,1e-05,40,-0.03288799808308598,,
5.0,902,11,0.58739655,10000,4,0.006889393,0.140377938747406,0.021673856605775654,0.3855200179340318,0.05585675686597824,0.1,0.05501522868871689,-94.79718769073486,1e-05,60,-0.035444222596089786,,
5.0,1126,11,0.58269555,12500,5,0.0073179146,0.39938247203826904,0.016801319257356225,0.37752001704648136,0.05329345539212227,0.1,0.055014319717884064,-94.79792888641357,1e-05,80,-0.03507319898498537,,
5.0,1351,11,0.57828976,15000,6,0.006508253,0.540482223033905,0.013514454755932093,0.3516400157753378,0.06091942638158798,0.1,0.05501461401581764,-94.7980464553833,1e-05,100,-0.03332524635575183,,
5.0,1576,11,0.58083268,17500,7,0.008819456,0.5725384056568146,0.01266159649938345,0.38992001762147993,0.05356569588184357,0.1,0.05501609295606613,-94.79752513885498,1e-05,120,-0.03505099688253366,,
5.0,1800,11,0.58382032,20000,8,0.0073080948,0.623108983039856,0.01132946364581585,0.376420016058255,0.05531875789165497,0.1,0.0550227016210556,-94.79270393371581,1e-05,140,-0.03456356485617008,,
5.0,2024,11,0.5811784,22500,9,0.0063806386,0.631712406873703,0.011146511873230338,0.36056001543067395,0.05403633415699005,0.1,0.055025599896907806,-94.78679134368896,1e-05,160,-0.034420341907818786,,
5.0,2268,11,0.57978713,25000,10,0.008137846,0.6759586930274963,0.009871826032176614,0.37808001731988045,0.0472494475543499,0.1,0.055026888847351074,-94.78465183258056,1e-05,180,-0.03602512383082821,0.5917225590950423,5.0
5.0,2493,11,0.58395709,27500,11,0.007828591,0.6937389671802521,0.009328154393006115,0.37446001736680046,0.05038170889019966,0.1,0.05502979829907417,-94.78215137481689,1e-05,200,-0.03461060745873255,,
5.0,2720,11,0.5862944,30000,12,0.008609481,0.7087918817996979,0.00894016824197024,0.41670001881429924,0.05115120857954025,0.1,0.05503029003739357,-94.78011341094971,1e-05,220,-0.03766031377067204,,
5.0,2941,11,0.58437596,32500,13,0.008790894,0.7178621590137482,0.008700257376767695,0.40354001792613414,0.04890770465135574,0.1,0.05503560230135918,-94.7766121673584,1e-05,240,-0.03618025718742743,,
5.0,3166,11,0.58393663,35000,14,0.0076631024,0.7173412442207336,0.008721968962345273,0.3747000159788877,0.053360242396593094,0.1,0.05503874272108078,-94.77218528747558,1e-05,260,-0.03493845006492549,,
5.0,3392,11,0.5870893,37500,15,0.006376258,0.7422366142272949,0.007941750762984156,0.3760000174026936,0.054022856056690216,0.1,0.05504101514816284,-94.76879508972168,1e-05,280,-0.03489792189360692,,
5.0,3617,11,0.58997275,40000,16,0.008511558,0.7210531830787659,0.00866153102600947,0.389900018342305,0.052383337169885635,0.1,0.0550379678606987,-94.76941253662109,1e-05,300,-0.0362215130286431,,
5.0,3841,11,0.59078867,42500,17,0.008979792,0.7447604835033417,0.007957150179427117,0.39404001814778894,0.05912557244300842,0.1,0.05503826215863228,-94.77135349273682,1e-05,320,-0.03539353531024503,,
5.0,4065,11,0.5895433099999999,45000,18,0.007420108,0.7437124252319336,0.007973403609357775,0.36822001718450337,0.0495874285697937,0.1,0.05503980815410614,-94.77027267456054,1e-05,340,-0.0347935853043181,,
5.0,4291,11,0.5897686799999999,47500,19,0.00710196,0.742593377828598,0.007981724394485355,0.38290001651737837,0.05013255402445793,0.1,0.055043429136276245,-94.76669822692871,1e-05,360,-0.03431609934659306,,
5.0,4538,11,0.58683507,50000,20,0.008980239,0.7557387501001358,0.0076423403597436846,0.3885000163386576,0.04848746210336685,0.1,0.05504381284117699,-94.7646380996704,1e-05,380,-0.036090005687919986,0.616667973194041,5.0
5.0,4764,11,0.5891542,52500,21,0.007847519,0.776573896408081,0.006952266814187169,0.3937800195114687,0.053662508726119995,0.1,0.05504825338721275,-94.76168334960937,1e-05,400,-0.036011005594010645,,
5.0,4989,11,0.58587925,55000,22,0.0071120695,0.7678255289793015,0.007311744205653667,0.3725400173920207,0.059797078371047974,0.1,0.05504407733678818,-94.76093090057373,1e-05,420,-0.03380562752080035,,
5.0,5212,11,0.5931937899999999,57500,23,0.007669989,0.7791674435138702,0.006923246451187879,0.3968600189848803,0.05021079257130623,0.1,0.055045630782842636,-94.76279434204102,1e-05,440,-0.03534074356442971,,
5.0,5435,11,0.5869688200000001,60000,24,0.007109424,0.7911806851625443,0.006556614236906171,0.3718600181909278,0.05256228893995285,0.1,0.055045753717422485,-94.76279850006104,1e-05,460,-0.035032568034256716,,
5.0,5656,11,0.59381879,62500,25,0.0073727113,0.7829284965991974,0.006820925015490502,0.3700600167969242,0.056476108729839325,0.1,0.055051662027835846,-94.75798622131347,1e-05,480,-0.035036825873955166,,
5.0,5881,11,0.59502049,65000,26,0.007950107,0.7852245420217514,0.006734833139926195,0.38398001664318143,0.05052749440073967,0.1,0.05505365878343582,-94.75365272521972,1e-05,500,-0.035447512638710814,,
5.0,6106,11,0.5912904699999999,67500,27,0.008671375,0.8051066398620605,0.00613529171794653,0.38442001668503506,0.05083198845386505,0.1,0.055051472038030624,-94.75441268920899,1e-05,520,-0.034812997262764614,,
5.0,6330,11,0.59444978,70000,28,0.008542162,0.7988055497407913,0.006328199880663306,0.39468001761240884,0.048798587173223495,0.1,0.05505267530679703,-94.75510562896729,1e-05,540,-0.03717370414469947,,
5.0,6556,11,0.5906070600000001,72500,29,0.0071494314,0.7967682480812073,0.00644394172122702,0.3847000176552683,0.05678693205118179,0.1,0.05505330115556717,-94.75341205596924,1e-05,560,-0.03525496042850108,,
5.0,6803,11,0.5974828,75000,30,0.0069370857,0.8087695389986038,0.005991624633315951,0.37158001731848345,0.05310323089361191,0.1,0.05505494028329849,-94.75285293579101,1e-05,580,-0.03523330051957689,0.6326662281844174,5.0
5.0,7029,11,0.5942579499999998,77500,31,0.00829824,0.8034137189388275,0.006219272918533534,0.3922400177689269,0.05254291743040085,0.1,0.0550534687936306,-94.75225078582764,1e-05,600,-0.03615363142342886,,
5.0,7253,11,0.59354544,80000,32,0.007989121,0.814142107963562,0.0058689032588154074,0.3866200175345875,0.05931064113974571,0.1,0.055058013647794724,-94.75051483154297,1e-05,620,-0.034917485253339986,,
5.0,7477,11,0.5895302,82500,33,0.00833488,0.8138388246297836,0.00590081324800849,0.35992001701612025,0.05558721721172333,0.1,0.05505812168121338,-94.74781723022461,1e-05,640,-0.03461199696928088,,
5.0,7701,11,0.59112016,85000,34,0.0072172917,0.8204398602247238,0.005692778290249407,0.38164001699304206,0.05081937089562416,0.1,0.055053047835826874,-94.75070133209229,1e-05,660,-0.03570620987964244,,
5.0,7924,11,0.59803143,87500,35,0.007635008,0.8184009343385696,0.0057755989162251355,0.36550001688068734,0.046878326684236526,0.1,0.05505743250250816,-94.75137340545655,1e-05,680,-0.03543491187543424,,
5.0,8150,11,0.59581733,90000,36,0.008982952,0.8207724988460541,0.005691749453544617,0.39808001877507193,0.051677800714969635,0.1,0.055065739899873734,-94.74320198059083,1e-05,700,-0.036058624275807104,,
5.0,8376,11,0.59854959,92500,37,0.009355537,0.8233329057693481,0.005612624497152865,0.3994800180313177,0.04527457430958748,0.1,0.05506660044193268,-94.73783451080322,1e-05,720,-0.03629194034032288,,
5.0,8600,11,0.59687764,95000,38,0.008807858,0.8218640238046646,0.005686953098047525,0.40266001789597794,0.04683896526694298,0.1,0.05506494641304016,-94.73880069732667,1e-05,740,-0.037090459315116814,,
5.0,8823,11,0.5997180300000001,97500,39,0.008760556,0.8090686500072479,0.006142648020759225,0.4154200193891302,0.051761701703071594,0.1,0.05506245419383049,-94.7411627960205,1e-05,760,-0.037097235793050805,,
5.0,9071,11,0.59775764,100000,40,0.0077628717,0.8276594430208206,0.005454783558379858,0.3855000176653266,0.05220930278301239,0.1,0.05506347119808197,-94.74242973327637,1e-05,780,-0.034646053498003225,0.649118274523141,5.0
5.0,9294,11,0.60283986,102500,41,0.0063403146,0.8248878121376038,0.005596066871657967,0.3795800165878609,0.050352100282907486,0.1,0.05506434291601181,-94.7410580444336,1e-05,800,-0.03513424988249522,,
5.0,9518,11,0.6026388700000002,105000,42,0.008051517,0.8349717855453491,0.005291839865967631,0.3872000182280317,0.05068991705775261,0.1,0.0550653301179409,-94.73967197418213,1e-05,820,-0.03554833786037346,,
5.0,9745,11,0.60040074,107500,43,0.0077549303,0.8340069055557251,0.005361071462975815,0.37496001738356427,0.048202816396951675,0.1,0.05506712943315506,-94.73842231750488,1e-05,840,-0.03499333384799421,,
5.0,9967,11,0.6007516299999999,110000,44,0.00690186,0.8396956026554108,0.005156866847537458,0.3891600181511603,0.052707381546497345,0.1,0.05507025867700577,-94.73570541381837,1e-05,860,-0.036284268097298594,,
5.0,10191,11,0.60122365,112500,45,0.0074261175,0.8376043140888214,0.00522497455123812,0.37120001734700053,0.0544365756213665,0.1,0.05506793409585953,-94.73509906768798,1e-05,880,-0.035451950691917415,,
5.0,10417,11,0.59973504,115000,46,0.0074895592,0.8459004312753677,0.004956638738512993,0.3905000168806873,0.05368906632065773,0.1,0.05506591498851776,-94.73787132263183,1e-05,900,-0.036038530268431936,,
5.0,10641,11,0.60158443,117500,47,0.009435235,0.8496298789978027,0.004812898865202442,0.41248001919128,0.048471223562955856,0.1,0.0550638847053051,-94.74063526153564,1e-05,920,-0.03708392283711106,,
5.0,10866,11,0.60181836,120000,48,0.0072260355,0.8453437089920044,0.004974802451906726,0.3723000174644403,0.047494471073150635,0.1,0.05506756156682968,-94.73932998657227,1e-05,940,-0.03448243739627799,,
5.0,11091,11,0.6044740000000001,122500,49,0.007194752,0.839292362332344,0.0052118483697995545,0.37196001667762174,0.0505119189620018,0.1,0.05506955087184906,-94.73596046447754,1e-05,960,-0.03574892560709486,,
5.0,11339,11,0.60106309,125000,50,0.0081947865,0.8482203185558319,0.004892008461756632,0.3992400176776573,0.061435308307409286,0.1,0.05506943166255951,-94.73498928070069,1e-05,980,-0.03578544896292215,0.6551347544129109,5.0
5.0,11563,11,0.60280282,127500,51,0.008122538,0.8452674597501755,0.005024588176747784,0.38746001715771855,0.04730157554149628,0.1,0.055069342255592346,-94.7350912475586,1e-05,1000,-0.03578689412005523,,
5.0,11788,11,0.60393606,130000,52,0.008981586,0.8555319011211395,0.0046641866734717045,0.38954001855337994,0.04993153363466263,0.1,0.05506599694490433,-94.73705760955811,1e-05,1020,-0.036528952740971,,
