time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/value_loss,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
131,5750,1,5.0,0.68261659,43,,,,,,,,,,,,,
164,11500,2,5.0,0.6796109299999997,69,0.004660606041381305,0.00079725054,5e-06,-8.049013137817383,0.18268682062625885,-5.902094239899607,0.15807877480983734,20,0.1,0.40891444181854075,-0.000806735388127672,,
183,17250,3,5.0,0.68144996,93,0.004642424247735603,0.0012133749,5e-06,-6.005547523498535,0.1826852411031723,-5.901975709741766,0.13418400287628174,40,0.1,0.29820258951548373,-0.0009203971322149175,,
191,23000,4,5.0,0.6841514799999999,120,0.005671428593008646,0.0013342655,5e-06,-4.775685787200928,0.18267878890037537,-5.902431687854585,0.09981367737054825,60,0.1,0.2398224377915973,0.000439784457533304,,
199,28750,5,5.0,0.68273506,143,0.0031333333352962746,0.00082239456,5e-06,-3.740142345428467,0.18267293274402618,-5.903182040728056,0.09712548553943634,80,0.1,0.20227946306650454,-0.000557557589027016,,
204,34500,6,5.0,0.67685681,168,0.00760444447863847,0.0012342251,5e-06,-2.9649388790130615,0.18268515169620514,-5.902851098378499,0.07737112790346146,100,0.1,0.1613083406454987,-0.0009379426542166947,,
208,40250,7,5.0,0.6765264299999998,193,0.008071111161261796,0.0011613477,5e-06,-2.557727575302124,0.18269196152687073,-5.901720932854547,0.07197218388319016,120,0.1,0.1551764881445302,-0.0013089419505553223,,
213,46000,8,5.0,0.6819501699999999,215,0.004758974353376871,0.0010267106,5e-06,-2.130164623260498,0.18270787596702576,-5.900442638152685,0.06496241688728333,140,0.1,0.13338643035445458,-5.6159000719314706e-05,,
217,51750,9,5.0,0.68292169,238,0.0034166666575604016,0.00080521934,5e-06,-1.714296579360962,0.18272733688354492,-5.898370999760098,0.05182167515158653,160,0.1,0.1124467527286874,-0.001334033933190737,,
201,57500,10,5.0,0.6811594599999999,285,0.008776190537693246,0.0010578997,5e-06,-1.5743911266326904,0.18272720277309418,-5.897145514261155,0.058207958936691284,180,0.1,0.11284562877068917,-0.0021191000994742006,0.7107230327072036,5.0
205,63250,11,5.0,0.6771600799999998,308,0.00469999998393986,0.0011882326,5e-06,-1.3186993598937988,0.18272016942501068,-5.897635156578488,0.052136458456516266,200,0.1,0.10353282594846355,-0.0006013921776860196,,
206,69000,12,5.0,0.6793389000000002,334,0.009509803936360221,0.0013299404,5e-06,-1.1239807605743408,0.18273226916790009,-5.897497578228221,0.03320592641830444,220,0.1,0.08774005836058481,-0.0013411159596589295,,
209,74750,13,5.0,0.67917218,356,0.0030121212239574754,0.00086843147,5e-06,-0.957983136177063,0.18273495137691498,-5.896518442847512,0.034451525658369064,240,0.1,0.08658126332994663,-0.0007555571966952217,,
211,80500,14,5.0,0.68045979,380,0.00539999999794721,0.0009685923,5e-06,-0.8020203113555908,0.1827162653207779,-5.897364435593287,0.031497057527303696,260,0.1,0.07460518086639543,-0.0012186628520303722,,
214,86250,15,5.0,0.6760698199999999,402,0.0038833333289302473,0.0010586646,5e-06,-0.6391515731811523,0.1827048808336258,-5.899238634109497,0.026244191452860832,280,0.1,0.06837905586386721,-0.0005294345073106172,,
216,92000,16,5.0,0.67977427,424,0.007512820511459349,0.0015747836,5e-06,-0.5352753400802612,0.1827033907175064,-5.899954493840536,0.01902688667178154,300,0.1,0.06885219712574513,-0.0008086349466695699,,
