time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/value_loss,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
128,5750,1,5.0,0.6789200799999999,44,,,,,,,,,,,,,
167,11500,2,5.0,0.67906318,68,0.0029666666531314454,0.00080170453,5e-06,-3.3066787719726562,0.1826925128698349,-5.901818404197693,0.10971447825431824,20,0.1,0.24313761522372565,-0.0004178061171963924,,
188,17250,3,5.0,0.67925222,91,0.007973333303040514,0.0012916666,5e-06,-2.7198522090911865,0.18270310759544373,-5.900667692820231,0.09893828630447388,40,0.1,0.21588611053923765,-0.0021716257364261765,,
201,23000,4,5.0,0.6849088600000002,114,0.004552380929124497,0.0009690533,5e-06,-2.2970638275146484,0.18272148072719574,-5.898981689271473,0.08565660566091537,60,0.1,0.18083740449732258,-0.001821258265422179,,
210,28750,5,5.0,0.67541432,136,0.003981818170568934,0.0010994207,5e-06,-1.7168500423431396,0.18272395431995392,-5.89776535467668,0.05438842251896858,80,0.1,0.1481580141141559,-0.0009325943859003549,,
215,34500,6,5.0,0.68102104,160,0.009394871820815099,0.0011198717,5e-06,-1.4934031963348389,0.18271175026893616,-5.89829058035826,0.05907434970140457,100,0.1,0.1280468439540038,-0.0010371108010717857,,
220,40250,7,5.0,0.6879977400000001,182,0.005339393961581994,0.0010673605,5e-06,-1.373434066772461,0.18271316587924957,-5.899025252371123,0.05341743677854538,120,0.1,0.11719034662978216,-0.001328425755184192,,
222,46000,8,5.0,0.6818038399999999,206,0.009020512836436049,0.0013963213,5e-06,-1.183441162109375,0.18272122740745544,-5.898435404361822,0.0506167970597744,140,0.1,0.09897580771492077,-0.0014597256269514474,,
226,51750,9,5.0,0.6800363299999997,228,0.00267499998153653,0.00079172733,5e-06,-0.9773215055465698,0.18271934986114502,-5.898032693068187,0.03921898826956749,160,0.1,0.0942543246007214,-0.0008286335266185422,,
211,57500,10,5.0,0.6802272,271,0.0045800000103190545,0.0010884469,5e-06,-0.8081532716751099,0.18271678686141968,-5.898313016891479,0.03262053057551384,180,0.1,0.09199161045253276,-0.0007857234323531574,0.6888562281756814,5.0
214,63250,11,5.0,0.67839861,295,0.005206060567588517,0.0010630457,5e-06,-0.7247278690338135,0.18271379172801971,-5.898646587314028,0.035187412053346634,200,0.1,0.07914653536722516,-0.0014399736171490068,,
217,69000,12,5.0,0.6818709299999999,317,0.004806666654379417,0.0012831398,5e-06,-0.6842939853668213,0.18271899223327637,-5.898550416628519,0.03215823322534561,220,0.1,0.07353624985863765,-0.0008646718085460566,,
218,74750,13,5.0,0.6828179799999998,341,0.007892307726284251,0.0009774812,5e-06,-0.5623222589492798,0.18272316455841064,-5.897924622511252,0.03498886525630951,240,0.1,0.06572912228413118,-0.000693454944344303,,
220,80500,14,5.0,0.67972951,364,0.006461538416214096,0.00073014316,5e-06,-0.4162670373916626,0.18272079527378082,-5.897903089034251,0.029565829783678055,260,0.1,0.06394340245960614,-0.0009346887100764325,,
222,86250,15,5.0,0.6757067499999999,387,0.004184615348752301,0.0009617722,5e-06,-0.33014345169067383,0.18271125853061676,-5.898555364364233,0.0234445221722126,280,0.1,0.06015269099137722,-0.0007330186252705955,,
224,92000,16,5.0,0.6813286399999999,410,0.004988888883963228,0.0012214883,5e-06,-0.297008752822876,0.18271249532699585,-5.899074843194749,0.02783837541937828,300,0.1,0.056123526482325464,-0.001036260544524328,,
225,97750,17,5.0,0.6841101099999999,432,0.006522222169183402,0.0009578811,5e-06,-0.21810901165008545,0.18270811438560486,-5.899211998780569,0.020920438691973686,320,0.1,0.05364840186925398,-0.001502193092791695,,
226,103500,18,5.0,0.6783510899999999,457,0.005655555560952053,0.0009903339,5e-06,-0.08158373832702637,0.1827182173728943,-5.898887442217933,0.015736529603600502,340,0.1,0.049725601066731746,-0.00021962338090126328,,
227,109250,19,5.0,0.67745496,479,0.005933333353494249,0.0011734887,5e-06,-0.04467511177062988,0.18270595371723175,-5.8989402839115685,0.01919613406062126,360,0.1,0.048009068017736786,-0.0019456283056363917,,
220,115000,20,5.0,0.6798015199999999,521,0.0058199999830685556,0.00084647647,5e-06,0.0014857053756713867,0.18271028995513916,-5.899553426106771,0.013937723822891712,380,0.1,0.04489611918727557,-0.0013442955842833415,0.6801236995036591,5.0
221,120750,21,5.0,0.6821738099999999,544,0.006854545428050738,0.0008891495,5e-06,0.03970301151275635,0.18271611630916595,-5.8989000305984955,0.016117887571454048,400,0.1,0.0459952349351211,-0.000617960495613424,,
223,126500,22,5.0,0.6825001599999999,566,0.005157575737967184,0.0010034206,5e-06,0.09163534641265869,0.18271493911743164,-5.898601777625807,0.021514780819416046,420,0.1,0.041610694908057196,-2.0744185550897692e-05,,
223,132250,23,5.0,0.6785561099999999,590,0.0051692307472993165,0.0009646896,5e-06,0.12434852123260498,0.18271873891353607,-5.898492222565871,0.009483572095632553,440,0.1,0.04025022156345539,-0.0012742312797705826,,
225,138000,24,5.0,0.68269999,612,0.004886666637224456,0.00091896387,5e-06,0.15654951333999634,0.1827266812324524,-5.897778306007385,0.018152711912989616,460,0.1,0.03663144844584167,-0.0004175006265289897,,
226,143750,25,5.0,0.68339906,634,0.0029212121160305813,0.001074737,5e-06,0.21847379207611084,0.18272718787193298,-5.897279041463679,0.012680240906774998,480,0.1,0.03608606697031946,-0.00022278253362448348,,
227,149500,26,5.0,0.6856955700000001,656,0.006454545430923727,0.0009859749,5e-06,0.2603444457054138,0.18273024260997772,-5.897074495662342,0.007178283296525478,500,0.1,0.032513813561562334,-0.001281995659020225,,
228,155250,27,5.0,0.68473256,679,0.01087222220764185,0.001341721,5e-06,0.29896533489227295,0.18273794651031494,-5.896523220009274,0.0065755583345890045,520,0.1,0.03113222647872236,-0.0015430790628463593,,
229,161000,28,5.0,0.67953437,702,0.007526666613606115,0.0013405891,5e-06,0.31808650493621826,0.18274587392807007,-5.895582321484883,0.012346160598099232,540,0.1,0.03167265830251078,-0.0008223967954508815,,
230,166750,29,5.0,0.6825435299999998,724,0.00645333334725971,0.0010546691,5e-06,0.3283621072769165,0.18274959921836853,-5.894919708569844,0.007763679139316082,560,0.1,0.028935587415471673,-0.002412202853720542,,
225,172500,30,5.0,0.6828008400000001,766,0.008744444432927089,0.0012415604,5e-06,0.3660668134689331,0.18275956809520721,-5.894168525271946,0.0019196649082005024,580,0.1,0.02852649201069855,-0.0007876940547798601,0.6904726305240402,5.0
226,178250,31,5.0,0.68484307,788,0.006715151492619153,0.0011384389,5e-06,0.3610357642173767,0.18276220560073853,-5.893377928300337,0.009453139267861843,600,0.1,0.028110083598982205,-0.0005637766700981417,,
226,184000,32,5.0,0.6885948399999999,810,0.007121212113027771,0.001332432,5e-06,0.4010671377182007,0.18277066946029663,-5.892827438585686,0.011634673923254013,620,0.1,0.027246095200605464,-0.001021462730907928,,
227,189750,33,5.0,0.68491891,832,0.009866666683228687,0.0011359171,5e-06,0.42378443479537964,0.18276621401309967,-5.892467363675435,0.010935237631201744,640,0.1,0.027218945254571737,-0.0011695159750100801,,
228,195500,34,5.0,0.6873600799999999,854,0.004048484828407792,0.00089202775,5e-06,0.43861979246139526,0.18276794254779816,-5.892737062049634,0.008040295913815498,660,0.1,0.02506652002533277,-0.00043623701872049344,,
229,201250,35,5.0,0.6846754099999999,877,0.008599999963277668,0.0011782675,5e-06,0.44969260692596436,0.1827676147222519,-5.892626869317257,0.006131649482995272,680,0.1,0.026453075806299846,-0.0011472267322270092,,
230,207000,36,5.0,0.6918628099999999,899,0.008144444476864817,0.0012786109,5e-06,0.47944456338882446,0.18276873230934143,-5.892569310135311,0.010457677766680717,700,0.1,0.023355434439145027,-0.0007305279567625414,,
230,212750,37,5.0,0.68663967,922,0.0049888889046592845,0.0011910151,5e-06,0.5002644062042236,0.18276476860046387,-5.892719835705227,-0.0012099044397473335,720,0.1,0.023522616715894805,-0.0009185248021470323,,
231,218500,38,5.0,0.6821427400000001,945,0.007866666674948274,0.0011571994,5e-06,0.49449723958969116,0.18276718258857727,-5.892850693678245,0.00017374567687511444,740,0.1,0.022282535451440474,-0.0021538399487121287,,
231,224250,39,5.0,0.68363833,967,0.003949999962545311,0.00059371226,5e-06,0.5102686285972595,0.1827622652053833,-5.892952644824982,0.007467028684914112,760,0.1,0.021490565165489292,-0.0007591621579774517,,
228,230000,40,5.0,0.6811742100000001,1008,0.004888888869296622,0.00070662826,5e-06,0.5260381996631622,0.18276718258857727,-5.893027017734669,0.010767833329737186,780,0.1,0.021232053571967065,-0.0016447018002017386,0.6628172822758345,5.0
228,235750,41,5.0,0.6898724900000001,1031,0.00379444444940115,0.000844313,5e-06,0.544291764497757,0.18277034163475037,-5.892503629790412,0.009527997113764286,800,0.1,0.020540398369646735,-0.0017205825276616713,,
229,241500,42,5.0,0.68814296,1052,0.004242424253430782,0.0011023041,5e-06,0.5585521459579468,0.18277429044246674,-5.892110354972608,0.005728458520025015,820,0.1,0.01979073573073203,-0.0015804263120357896,,
229,247250,43,5.0,0.68898226,1075,0.00927333331744497,0.0011619007,5e-06,0.5788893103599548,0.18277129530906677,-5.892026151021321,0.0033363159745931625,840,0.1,0.019233776470646263,-0.0016657810510776845,,
230,253000,44,5.0,0.6852723699999997,1096,0.00385185185112749,0.0007939539,5e-06,0.5795578956604004,0.18277697265148163,-5.891983735119855,0.001123395748436451,860,0.1,0.019619553375782237,0.0005848444334535291,,
231,258750,45,5.0,0.68379162,1118,0.005042424246979257,0.0011050369,5e-06,0.5825796127319336,0.1827898770570755,-5.89085347291195,0.004436904098838568,880,0.1,0.01911841232583604,-0.001059616444757145,,
231,264500,46,5.0,0.6849194300000001,1141,0.008727272655673777,0.0013487603,5e-06,0.5836671888828278,0.18279193341732025,-5.889986873395515,0.002130132634192705,900,0.1,0.019363303733707378,-0.0012651554640518046,,
232,270250,47,5.0,0.6862931800000002,1164,0.005757575755176897,0.0011400677,5e-06,0.5942480862140656,0.18279431760311127,-5.889710745666966,0.004704317077994347,920,0.1,0.01868254712246584,-0.0017681642771459672,,
232,276000,48,5.0,0.6875222099999998,1186,0.00855333338258788,0.0011951933,5e-06,0.6027138531208038,0.1827859729528427,-5.890015738805135,-0.0018449574708938599,940,0.1,0.018086463082581758,-0.0012352687947363749,,
232,281750,49,5.0,0.6893351199999997,1209,0.007466666692117643,0.0012554852,5e-06,0.6045457124710083,0.18277539312839508,-5.891147540675269,0.0034831566736102104,960,0.1,0.017023883847933678,-0.0005213010902512557,,
229,287500,50,5.0,0.68898772,1250,0.0056999999680556355,0.0008958653,5e-06,0.6117140054702759,0.18277259171009064,-5.891979942321777,0.002440480515360832,980,0.1,0.01687724590146293,-0.001099519560663295,0.671757314013119,5.0
230,293250,51,5.0,0.68995043,1273,0.0062999999942258,0.0011432194,5e-06,0.6107535660266876,0.18276403844356537,-5.892540836334229,0.00010565808042883873,1000,0.1,0.0185365981888026,-0.0012326793490760831,,
230,299000,52,5.0,0.6891166099999999,1294,0.0057599999771143,0.0013061134,5e-06,0.6391154229640961,0.18276014924049377,-5.893317440350851,-0.0013398351147770882,1020,0.1,0.01670945453767975,-0.0009363198253257673,,
231,304750,53,5.0,0.6874554099999999,1317,0.007605128187853366,0.0011033813,5e-06,0.656244307756424,0.182758629322052,-5.893633886483999,-0.0020459704101085663,1040,0.1,0.016022536057071424,-0.0013889332530567869,,
231,310500,54,5.0,0.6849265200000001,1340,0.008763636366435975,0.0009936442,5e-06,0.6626181602478027,0.1827431619167328,-5.894508991819439,0.0017597819678485394,1060,0.1,0.01621180095314754,-0.0009206583505352413,,
232,316250,55,5.0,0.6926067400000001,1362,0.005633333322281639,0.0011986328,5e-06,0.6592110395431519,0.18273819983005524,-5.8957861121495565,-0.0022741490975022316,1080,0.1,0.016170917808388672,-0.0004443004027165043,,
232,322000,56,5.0,0.6892930500000003,1385,0.006488888869191417,0.0013686648,5e-06,0.6612390577793121,0.18272607028484344,-5.896737698713938,-0.002645679749548435,1100,0.1,0.015986168996379193,-0.001103286848321631,,
232,327750,57,5.0,0.6882603999999999,1406,0.00212592591393601,0.0009798139,5e-06,0.6724947392940521,0.18272963166236877,-5.897310207508228,-0.00269903801381588,1120,0.1,0.015385109267232043,-0.0008014255168736731,,
233,333500,58,5.0,0.6889792800000001,1428,0.008969696961823061,0.0011638688,5e-06,0.6704720258712769,0.18273796141147614,-5.896558890198216,-0.0011941492557525635,1140,0.1,0.015751012675746374,-0.0008853534372627043,,
233,339250,59,5.0,0.6912557699999999,1450,0.007106666669715196,0.0012111521,5e-06,0.6710185408592224,0.18273891508579254,-5.895977007548014,0.0040662698447704315,1160,0.1,0.015173295407245557,-0.0005997548621609875,,
231,345000,60,5.0,0.68748911,1491,0.0026749999766858914,0.000651536,5e-06,0.6836967170238495,0.18274590373039246,-5.8956507007280985,0.0047332593239843845,1180,0.1,0.015626087257017692,-0.0008373370882532945,0.6728257035180034,5.0
231,350750,61,5.0,0.69308269,1513,0.0049466666276566686,0.001051509,5e-06,0.678166925907135,0.18274375796318054,-5.895242166519165,-0.0003799167461693287,1200,0.1,0.014879357886190216,-0.0009422455680706158,,
232,356500,62,5.0,0.69420085,1535,0.01014000001984338,0.001340981,5e-06,0.6837220191955566,0.1827440708875656,-5.895394053459167,0.0020598736591637135,1220,0.1,0.015009495426590243,-0.0008817299713711168,,
