rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/std,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
5.0,224,11,0.5785338800000001,2500,1,,,,,,,,,,,,,
5.0,447,11,0.58465765,5000,2,0.006904635,-4.006741523742676,0.09082028912380338,0.3695600171154365,0.07169529795646667,0.1,0.0550210177898407,-94.78948852539062,1e-05,20,-0.0323718129461634,,
5.0,671,11,0.58201702,7500,3,0.007847882,0.030938029289245605,0.025069482708349824,0.37502001711400224,0.05756611377000809,0.1,0.05501864105463028,-94.79172012329101,1e-05,40,-0.036173669023802583,,
5.0,893,11,0.58257137,10000,4,0.007690532,0.4054010510444641,0.016995970658026636,0.36320001678774133,0.05605100467801094,0.1,0.05501807481050491,-94.7935831451416,1e-05,60,-0.035149998462854624,,
5.0,1116,11,0.5813771400000001,12500,5,0.0067730104,0.44496631622314453,0.01636901547666639,0.4032800196367316,0.05038130283355713,0.1,0.055013660341501236,-94.79622581481934,1e-05,80,-0.03765387855483276,,
5.0,1339,11,0.57905066,15000,6,0.0073430496,0.5169207751750946,0.014504493623971939,0.39298001790652054,0.05378006398677826,0.1,0.05501227825880051,-94.79996593475342,1e-05,100,-0.03649201640308902,,
5.0,1565,11,0.5828863,17500,7,0.0086547965,0.5721704959869385,0.012865064628422261,0.3927800186001696,0.05767294764518738,0.1,0.0550130270421505,-94.80033950805664,1e-05,120,-0.03653320888411422,,
5.0,1792,11,0.58549266,20000,8,0.007964117,0.5913331806659698,0.012454290012829005,0.3880000160238706,0.05446724221110344,0.1,0.05501193553209305,-94.8005124282837,1e-05,140,-0.03598936108489052,,
5.0,2014,11,0.57838843,22500,9,0.0070697675,0.6346040666103363,0.011184597574174403,0.3917600182443857,0.05382480472326279,0.1,0.055014707148075104,-94.79983428955079,1e-05,160,-0.03726540763988856,,
5.0,2262,11,0.5831402400000001,25000,10,0.008580471,0.6663272082805634,0.010231499613728373,0.4035600175941363,0.046321555972099304,0.1,0.055014535784721375,-94.79778411865234,1e-05,180,-0.03754912612926855,0.6141844187182768,5.0
5.0,2486,11,0.58641678,27500,11,0.007514202,0.6653481423854828,0.010316185415722429,0.38280001651961354,0.04857305809855461,0.1,0.05500933527946472,-94.80118381500245,1e-05,200,-0.0366603157252483,,
5.0,2713,11,0.5861351699999999,30000,12,0.0080244485,0.6692591905593872,0.010188212087377906,0.3871000176342204,0.05503847822546959,0.1,0.05500952899456024,-94.80429576873779,1e-05,220,-0.03569787038652301,,
5.0,2938,11,0.57763962,32500,13,0.0073969746,0.6880608797073364,0.009575057483743876,0.40468001833884043,0.055384665727615356,0.1,0.05501294136047363,-94.80213684082031,1e-05,240,-0.03710045522513333,,
5.0,3161,11,0.5790593599999999,35000,14,0.0074680317,0.7012820839881897,0.009111144149210304,0.40580001869238913,0.053681161254644394,0.1,0.05501709133386612,-94.79778541564941,1e-05,260,-0.0371602273531175,,
5.0,3386,11,0.58711704,37500,15,0.008813897,0.7143703699111938,0.008789157124701887,0.4079200186161324,0.05212198197841644,0.1,0.05501990020275116,-94.79340866088867,1e-05,280,-0.03861815680362582,,
5.0,3612,11,0.5931811899999999,40000,16,0.007720428,0.7162752747535706,0.008818809885997324,0.38660001774318514,0.044863928109407425,0.1,0.055019594728946686,-94.79233074188232,1e-05,300,-0.03761008477835745,,
5.0,3838,11,0.59223672,42500,17,0.008176104,0.7412447333335876,0.008069050640333444,0.3880800181138329,0.046797215938568115,0.1,0.05501975864171982,-94.7922074508667,1e-05,320,-0.03643127043056072,,
5.0,4061,11,0.5894200800000001,45000,18,0.007494918,0.733227014541626,0.008337720565032214,0.4087600194220431,0.04843638092279434,0.1,0.05501958355307579,-94.79288948059082,1e-05,340,-0.03846888464613585,,
5.0,4285,11,0.59190871,47500,19,0.0104846535,0.756112590432167,0.007624428488779813,0.4089600177993998,0.05582749843597412,0.1,0.05502365529537201,-94.7896569442749,1e-05,360,-0.03823948551204609,,
5.0,4533,11,0.58654036,50000,20,0.007901218,0.7520515769720078,0.007720105131156742,0.3855200182227418,0.05158787593245506,0.1,0.05502285063266754,-94.78792915344238,1e-05,380,-0.036014254595732355,0.6336843993460333,5.0
5.0,4757,11,0.59042518,52500,21,0.007847618,0.7505773156881332,0.007793009469751268,0.3767200175835751,0.04684651643037796,0.1,0.05502581223845482,-94.78753646850586,1e-05,400,-0.03582354926437461,,
5.0,4981,11,0.5874321200000001,55000,22,0.009345074,0.7767074257135391,0.00700288554886356,0.4056000173045322,0.04855320230126381,0.1,0.05503017455339432,-94.78240131378173,1e-05,420,-0.03873676435960689,,
5.0,5205,11,0.5919568,57500,23,0.008503375,0.7769645601511002,0.0069486485468223695,0.4010200182744302,0.047502439469099045,0.1,0.05503745377063751,-94.77608058929444,1e-05,440,-0.037578971634521154,,
5.0,5429,11,0.5888495300000001,60000,24,0.009141136,0.7810714691877365,0.006832339453976602,0.40254001778783277,0.04968293383717537,0.1,0.05504116415977478,-94.7691947555542,1e-05,460,-0.03782815587737016,,
5.0,5653,11,0.5926875,62500,25,0.0075290897,0.7759644389152527,0.007009752893354744,0.3819800167437643,0.0511130765080452,0.1,0.05504077672958374,-94.76817008972168,1e-05,480,-0.03609596819988967,,
5.0,5878,11,0.5977271200000001,65000,26,0.007577146,0.7823997884988785,0.006836611600592732,0.3831800181814469,0.052407022565603256,0.1,0.05503963679075241,-94.76811519622802,1e-05,500,-0.03705948909296389,,
5.0,6103,11,0.59206657,67500,27,0.007302696,0.7839327901601791,0.006792949340306223,0.39324001744156706,0.050813596695661545,0.1,0.05504690855741501,-94.76490879058838,1e-05,520,-0.03691786558156249,,
5.0,6327,11,0.5940100899999999,70000,28,0.008278361,0.7935469150543213,0.006497691343538463,0.3932400183426216,0.045080069452524185,0.1,0.0550512820482254,-94.75840644836425,1e-05,540,-0.038580193386692566,,
5.0,6553,11,0.5954733600000001,72500,29,0.0088255,0.8005089461803436,0.006371864480897784,0.37854001713218166,0.05178670212626457,0.1,0.055055685341358185,-94.75336685180665,1e-05,560,-0.03693395410096155,,
5.0,6800,11,0.5995599100000001,75000,30,0.00901265,0.8046190291643143,0.006205087918788195,0.41140001808758825,0.053341399878263474,0.1,0.05505785346031189,-94.74936080932618,1e-05,580,-0.03874503953650102,0.6459055875067943,5.0
5.0,7025,11,0.5983148799999999,77500,31,0.008369054,0.8113484680652618,0.005984702380374074,0.4081000165245496,0.05001440644264221,0.1,0.05505768209695816,-94.74804821014405,1e-05,600,-0.03876210108179251,,
5.0,7248,11,0.5912202900000001,80000,32,0.007837387,0.8156995475292206,0.005846165663097053,0.3791800175001845,0.053916946053504944,0.1,0.05505611002445221,-94.74919651031495,1e-05,620,-0.03696442822716375,,
5.0,7472,11,0.5929373800000001,82500,33,0.008336358,0.8072249889373779,0.0060998121462762355,0.3926400176156312,0.049476686865091324,0.1,0.055053435266017914,-94.75130439758301,1e-05,640,-0.03770888983074576,,
5.0,7698,11,0.59575072,85000,34,0.008016045,0.8264617770910263,0.005519931050948799,0.39512001966126264,0.046278584748506546,0.1,0.05505696311593056,-94.7512742614746,1e-05,660,-0.03664215254497019,,
5.0,7922,11,0.59831458,87500,35,0.009358118,0.8235488086938858,0.005617103094700724,0.42710001815343274,0.047105513513088226,0.1,0.05505368113517761,-94.7511050415039,1e-05,680,-0.03850688218170253,,
5.0,8147,11,0.59968677,90000,36,0.008824874,0.8381506353616714,0.005131524148164317,0.41500001926207913,0.043955300003290176,0.1,0.05506008118391037,-94.74953380584716,1e-05,700,-0.03881300885911305,,
5.0,8374,11,0.5969157800000001,92500,37,0.008136142,0.8272935301065445,0.005513630374334753,0.3940600168798119,0.04824846237897873,0.1,0.05505889281630516,-94.74535480499267,1e-05,720,-0.03805545253646777,,
5.0,8596,11,0.5985241099999999,95000,38,0.0074480814,0.8228045552968979,0.005661427041050046,0.38276001752819866,0.05136166512966156,0.1,0.05506039783358574,-94.74598495483399,1e-05,740,-0.03757761100816601,,
5.0,8822,11,0.6030583199999999,97500,39,0.008604613,0.8293666243553162,0.005495401069056243,0.40170001856749876,0.050263989716768265,0.1,0.05506269633769989,-94.74397785186767,1e-05,760,-0.037315573896900156,,
5.0,9067,11,0.59813843,100000,40,0.007424286,0.8222899883985519,0.005720178547780961,0.3978600189415738,0.051034942269325256,0.1,0.055063992738723755,-94.74141098022461,1e-05,780,-0.036802841478892956,0.6551313401263188,5.0
5.0,9291,11,0.60716692,102500,41,0.009181908,0.8406479358673096,0.005084496977506205,0.39174001867417246,0.0477062426507473,0.1,0.05506644397974014,-94.73956073760986,1e-05,800,-0.03820279574931433,,
5.0,9513,11,0.60161218,105000,42,0.008625825,0.8367113471031189,0.00524279223755002,0.3906400181818753,0.043838322162628174,0.1,0.0550670363008976,-94.73790431976319,1e-05,820,-0.037177759811847066,,
5.0,9737,11,0.600055,107500,43,0.00949063,0.845474049448967,0.004969041256699711,0.42144002000335606,0.0507601760327816,0.1,0.055067840963602066,-94.73670917510987,1e-05,840,-0.03924316331564103,,
5.0,9965,11,0.6002121,110000,44,0.008546363,0.8371783494949341,0.0052390394813846795,0.4016800180869177,0.046675365418195724,0.1,0.05506950989365578,-94.7356844329834,1e-05,860,-0.0379095887485293,,
5.0,10188,11,0.6027488799999999,112500,45,0.007427749,0.8401062339544296,0.005161897712387144,0.40216001809574664,0.04681245610117912,0.1,0.05506940931081772,-94.73441940307617,1e-05,880,-0.03772148658044159,,
5.0,10412,11,0.60456685,115000,46,0.007604413,0.8399524390697479,0.005141965987859294,0.3952800177247264,0.04848264902830124,0.1,0.055075306445360184,-94.7311093902588,1e-05,900,-0.03769489312852616,,
5.0,10638,11,0.60387644,117500,47,0.007932332,0.8566266596317291,0.004617007035994903,0.3993400181736797,0.04470096901059151,0.1,0.055069442838430405,-94.73092853546143,1e-05,920,-0.03722468048334697,,
5.0,10861,11,0.6039014599999999,120000,48,0.008164341,0.8492678999900818,0.004873493921477348,0.4053200192260556,0.04910200089216232,0.1,0.05507592484354973,-94.73099708557129,1e-05,940,-0.038887009044444414,,
5.0,11088,11,0.60649654,122500,49,0.007784226,0.8519404232501984,0.004803489547921345,0.37594001650810244,0.055041030049324036,0.1,0.05507200211286545,-94.72933723449707,1e-05,960,-0.0355556414092262,,
5.0,11333,11,0.6040716100000001,125000,50,0.0073736873,0.8530155420303345,0.0047672421869356186,0.3926400181604549,0.04886055365204811,0.1,0.05507278069853783,-94.73122467041016,1e-05,980,-0.037360554347217204,0.6570975573150453,5.0
5.0,11559,11,0.6062272,127500,51,0.006493797,0.8555019050836563,0.004687384635908529,0.35442001569317655,0.055099837481975555,0.1,0.05507538467645645,-94.72955848693847,1e-05,1000,-0.0356087619942603,,
5.0,11785,11,0.60475956,130000,52,0.0076159164,0.854334220290184,0.004721335476497188,0.3801000178279355,0.04920652508735657,0.1,0.05506855994462967,-94.73163959503174,1e-05,1020,-0.03612557412319113,,
5.0,12010,11,0.6035260299999999,132500,53,0.009060469,0.8521275669336319,0.004797156185377389,0.40424001864623277,0.04903872311115265,0.1,0.055068209767341614,-94.7363948059082,1e-05,1040,-0.03859568794577033,,
5.0,12236,11,0.60745038,135000,54,0.0076085706,0.8668444007635117,0.0043221460783388465,0.3869400188419968,0.04513371363282204,0.1,0.055064573884010315,-94.73819793701172,1e-05,1060,-0.03791757923533971,,
5.0,12461,11,0.61080545,137500,55,0.008073336,0.8607713282108307,0.004519806271418929,0.4010600192146376,0.05255851149559021,0.1,0.05506251007318497,-94.74179473876953,1e-05,1080,-0.037795020653004344,,
5.0,12687,11,0.60609655,140000,56,0.007693678,0.8720898330211639,0.004162747629452497,0.39860001877881585,0.04738669842481613,0.1,0.05506296083331108,-94.7426460647583,1e-05,1100,-0.03724886181058189,,
5.0,12912,11,0.6113388000000001,142500,57,0.007841285,0.8612279742956161,0.004516646940028295,0.39274001875426623,0.04648372530937195,0.1,0.0550575852394104,-94.74560974121094,1e-05,1120,-0.03750930340903143,,
5.0,13137,11,0.60784861,145000,58,0.008332671,0.8652284443378448,0.004404551684856415,0.39076001724693926,0.04575192555785179,0.1,0.05505157262086868,-94.7526683807373,1e-05,1140,-0.03795410206987988,,
5.0,13360,11,0.61127261,147500,59,0.009644657,0.8592264354228973,0.004598962710006162,0.3796400164370425,0.04353119805455208,0.1,0.05505106598138809,-94.75562049865722,1e-05,1160,-0.036819829791278916,,
5.0,13610,11,0.6094872800000001,150000,60,0.007853738,0.8699184954166412,0.0042427725251764055,0.3886000173189677,0.04927871748805046,0.1,0.05505254119634628,-94.75551128387451,1e-05,1180,-0.038102150432416194,0.6611744037565881,5.0
5.0,13835,11,0.61263041,152500,61,0.01007738,0.8708815425634384,0.004211823957739398,0.4139800185477361,0.042049989104270935,0.1,0.0550515353679657,-94.75499668121338,1e-05,1200,-0.03880999077597576,,
5.0,14057,11,0.6106466400000001,155000,62,0.00802178,0.8659266233444214,0.004395938190864399,0.393160018469207,0.04254000633955002,0.1,0.05505276471376419,-94.75484264373779,1e-05,1220,-0.038150658644533104,,
5.0,14284,11,0.6113858000000001,157500,63,0.007548121,0.8690673261880875,0.004272864469094202,0.4125000188406557,0.04814409837126732,0.1,0.055049870163202286,-94.75602291107178,1e-05,1240,-0.0386132986633573,,
